t_min,cgm_true,cgm_twin,cgm_true_cf,cgm_twin_cf
1002.0,134.94957242598204,104.49627338620013,122.80112727898255,91.91212113721018
1005.0,141.50700591694158,104.28878459660375,129.36538358361994,91.74602751312561
1008.0,148.37092895156718,104.07776510436817,136.23887912325603,91.57690804488257
1011.0,154.13331727036822,103.86291657063215,142.01361314887183,91.4044577475046
1014.0,157.3861144372242,103.64394924571104,145.28154151434143,91.2283795690462
1017.0,156.86523494214038,103.42058194844918,144.7785803480777,91.04838436692712
1020.0,152.17065444217485,103.19254204157879,140.10469694767747,90.8641908834708
1023.0,144.19846118837782,102.95956540316786,132.15596192313336,90.67552572052602
1026.0,134.13270080183014,102.72139639421822,122.11639473128102,90.48212331303894
1029.0,123.15732814149112,102.47778782246034,111.169916325889,90.28372590143404
1032.0,112.45620313399385,102.228500902378,100.50034577748072,90.08008350265908
1035.0,103.2130883924523,101.9733052114876,91.29139867618944,89.87095387974551
1038.0,96.61164835011955,101.71206339238904,84.72668703196048,89.6561025097369
1041.0,93.83544965937384,101.51318427855301,81.98972041318244,89.43530254983943
1044.0,96.06796263183689,101.39538872387736,84.26390809213741,89.20833480165257
1047.0,99.77897512353805,101.32476456233859,88.01897359557393,88.97498767334305
1050.0,98.78150642817769,101.28694283020282,87.06786921945566,88.73505713864789
1053.0,97.98047421429578,101.27542904178742,86.31544354110645,88.51983785478748
1056.0,97.38268702822867,101.28705054733314,85.76843444926698,88.39614255979238
1059.0,96.99487373475384,101.3200286852398,85.43349906362693,88.32614316446517
1062.0,96.82368781080247,101.37317559869152,85.3172184597305,88.29053173358338
1065.0,96.87571173564928,101.44556192185092,85.42610244387765,88.2811914289497
1068.0,97.15746141169477,101.53638050815121,85.76659431389622,88.29440041412512
1071.0,97.67539056191723,101.64488241448981,86.34507555403965,88.32821082166252
1074.0,98.43589506048056,101.7703579024356,87.16787042297943,88.38142511602963
1077.0,99.4412432822412,101.91212436410325,88.23717652332294,88.4531437056479
1080.0,100.66921080513643,102.06952148133489,89.53069968945114,88.5425990705536
1083.0,102.06024786076708,102.69732950305584,90.98882159315363,89.09941947800083
1086.0,103.54519227589458,105.08145711093877,92.54231258066096,91.36895406236559
1089.0,105.05879910455317,108.58338956443586,94.12584791055342,94.68305038985537
1092.0,106.53815217444509,112.45940275694855,95.67633653123389,98.29303832863968
1095.0,107.8716843783849,116.22733986400249,97.08178630365967,101.7148314001905
1098.0,108.86785539512624,119.5685257178004,98.14991282212668,104.6605516416083
1101.0,109.32012842413127,122.41329120292114,98.67318017319565,107.52370595978623
1104.0,109.02282461780203,125.24318189851438,98.444763087312,110.2957449996705
1107.0,107.80639664197919,127.92628705156753,97.29392271747798,112.83092533444932
1110.0,105.739923091918,130.3493826940625,95.28858065478441,115.06420871279143
1113.0,103.25405869251367,132.46504401602587,92.85832286110809,116.97213045037206
1116.0,100.85201829758671,134.26032203418754,90.5054147402526,118.55422664715589
1119.0,99.02800781454239,135.74110284211883,88.72324625120572,119.82340355366993
1122.0,98.22939183290448,136.92384207408057,87.95850301374742,120.80042411881946
1125.0,98.6622895258563,137.83080693145627,88.41676036686417,121.51040329002245
1128.0,100.17516582746116,138.48716328458556,89.94607148399552,121.98045931820897
1131.0,102.53340465917822,138.91909517324015,92.31153903965841,122.23809791392736
1134.0,105.498594310783,139.15256239700918,95.27460198126954,122.3101074312373
1137.0,108.83197302027901,139.21249053327503,98.59648575156118,122.22183673847701
1140.0,112.30569432372025,139.12226649868163,102.04947473924221,121.99676139457557
1143.0,115.71101101801662,138.90345302277632,105.42510396263738,121.65626307502762
1146.0,118.84861133777603,138.57565691449466,108.52450092634906,121.21955607445919
1149.0,121.52706064528185,138.15651684467952,111.15682798506646,120.70372823330943
1152.0,123.58412317659042,137.66176226300013,113.16059721618768,120.12384669383819
1155.0,124.98864426612738,137.1053129335284,114.50553677783333,119.49309701616355
1158.0,125.90086398691474,136.49941020407792,115.35287970241154,118.82294682333351
1161.0,126.52830633939433,135.85476121417864,115.91122069538818,118.12331565210573
1164.0,127.08347688971564,135.18068632191432,116.394176345739,117.40274205135847
1167.0,127.76209988905552,134.48526321343908,116.99858284041207,116.66854226479552
1170.0,128.64037689309694,133.77546321111345,117.80171629962452,115.92695694925112
1173.0,129.6130271290828,133.0572784479355,118.69929869632108,115.1832852943651
1176.0,130.53439175801103,132.33583787011702,119.54657356936102,114.44200533191982
1179.0,131.25834365574633,131.6155120975953,120.19819443993525,113.70688105123001
1182.0,131.6378266784346,130.90000737319374,120.50775040994338,112.98105705979015
1185.0,131.524559033912,130.19244916546032,120.32746339960508,112.26714176590438
1188.0,130.76886825593778,129.4954561758434,119.5080238270074,111.5672801604989
